LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,2016,LEVEL
Community Dev Block Grant Total,,,,,,"3,188,848","3,371,060","3,653,829","3,653,829",1
Community Dev Block Grant,Community Development Total,,,,,"3,188,848","3,371,060","3,653,829","3,653,829",2
Community Dev Block Grant,Community Development,Capital Project Expense,,,,"910,638","512,660","662,000","662,000",3
Community Dev Block Grant,Community Development,Direct Expenses,,,,"170,500","171,077","191,283","191,283",3
Community Dev Block Grant,Community Development,Employee Benefits,,,,"205,311","192,159","220,579","220,579",3
Community Dev Block Grant,Community Development,Interfund Transfers In/Out,,,,"216,593","226,649","169,938","169,938",3
Community Dev Block Grant,Community Development,Miscellaneous,,,,"222,000","375,000","120,000","120,000",3
Community Dev Block Grant,Community Development,Other Expense,,,,"774,667","1,280,588","1,666,560","1,666,560",3
Community Dev Block Grant,Community Development,Salaries and Wages,,,,"689,139","612,927","623,469","623,469",3
Conv Ctr Financing Fd-Spec Rev Total,,,,,,"17,163,200","18,847,730","29,318,000","29,318,000",1
Conv Ctr Financing Fd-Spec Rev,Finance Administration Total,,,,,"4,933,455","5,743,018","10,392,000","10,392,000",2
Conv Ctr Financing Fd-Spec Rev,Finance Administration,Direct Expenses,,,,,,"4,100,000","4,100,000",3
Conv Ctr Financing Fd-Spec Rev,Finance Administration,Interfund Transfers In/Out,,,,"4,933,455","5,743,018","6,292,000","6,292,000",3
Conv Ctr Financing Fd-Spec Rev,Treasury Office Total,,,,,"12,229,745","13,104,712","18,926,000","18,926,000",2
Conv Ctr Financing Fd-Spec Rev,Treasury Office,Capital Project Expense,,,,"626,375","1,466,142",,,3
Conv Ctr Financing Fd-Spec Rev,Treasury Office,Direct Expenses,,,,"450,000","450,000","450,000","450,000",3
Conv Ctr Financing Fd-Spec Rev,Treasury Office,Interfund Transfers In/Out,,,,"11,153,370","11,188,570","18,476,000","18,476,000",3
E 911 State Tax Fund-Operating Total,,,,,,"2,489,189","2,681,165","2,634,873","2,634,873",1
