LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,2016,LEVEL
Community Dev Block Grant Total,,,,,,"3,188,848","3,371,060","3,653,829","3,653,829",1
Conv Ctr Financing Fd-Spec Rev Total,,,,,,"17,163,200","18,847,730","29,318,000","29,318,000",1
E 911 State Tax Fund-Operating Total,,,,,,"2,489,189","2,681,165","2,634,873","2,634,873",1
Economic Development Fund Total,,,,,,"2,130,302","1,621,762","1,935,950","1,935,950",1
Emergency Shelter Grant Total,,,,,,,,"217,085","217,085",1
General Debt Service Fund Total,,,,,,"52,693,546","52,700,404","58,832,300","58,832,300",1
General Fund Total,,,,,,"383,571,703","404,773,087","416,705,376","416,705,376",1
Home Grant Total,,,,,,,,"1,725,309","1,725,309",1
Housing Development-Operating Total,,,,,,"1,083,483","1,225,229","1,545,031","1,545,031",1
Housing Development-Projects Total,,,,,,"615,349","336,573","500,000","500,000",1
Parking Debt Service Fund Total,,,,,,"7,925,000","7,875,000","7,725,000","7,725,000",1
Parking Facilities Fund-Operat Total,,,,,,"14,816,191","15,198,466","16,017,222","16,017,222",1
Public Transit Fund-Operating Total,,,,,,"26,155,992","26,660,662","27,280,013","27,280,013",1
Public Utilities Fund Total,,,,,,"190,120,430","199,092,077","207,656,634","207,656,634",1
RCC/PAC Debt Svc Fund Total,,,,,,"11,166,170","11,198,970","18,483,000","18,483,000",1
RCC/PAC Operations Fund Total,,,,,,"16,335,072","17,444,443","18,358,726","18,358,726",1
Revolving Fund Total,,,,,,"8,376,795","8,398,431","9,292,911","9,292,911",1
Sewer Reuse/Infrastructure Fd Total,,,,,,,,"6,112,089","6,112,089",1
Stormwater Utility Fund Total,,,,,,"15,864,531","16,063,667","16,688,473","16,688,473",1
SWS Debt Service Fund Total,,,,,,,"2,104,075","2,066,000","2,066,000",1
SWS Operating Fund Total,,,,,,"31,557,805","32,575,987","35,298,510","35,298,510",1
Transit CAMPO Fund Total,,,,,,,,"3,243,193","3,243,193",1
Utility Debt Service Fund Total,,,,,,"51,589,669","55,236,585","55,631,100","55,631,100",1
Walnut Creek Amph Operating Fd Total,,,,,,,"1,350,193","1,255,815","1,255,815",1
Water Infrastructure Total,,,,,,,,"2,888,422","2,888,422",1
Community Dev Block Grant,Community Development Total,,,,,"3,188,848","3,371,060","3,653,829","3,653,829",2
Conv Ctr Financing Fd-Spec Rev,Finance Administration Total,,,,,"4,933,455","5,743,018","10,392,000","10,392,000",2
Conv Ctr Financing Fd-Spec Rev,Treasury Office Total,,,,,"12,229,745","13,104,712","18,926,000","18,926,000",2
E 911 State Tax Fund-Operating,Emergency Communications Total,,,,,"2,489,189","2,681,165","2,634,873","2,634,873",2
Economic Development Fund,Budget & Management Services Total,,,,,"68,053","2,500","30,000","30,000",2
Economic Development Fund,Finance Administration Total,,,,,"900,000","395,650","500,000","500,000",2
Economic Development Fund,Information Technology Admin Total,,,,,"369,000","359,000",,,2
Economic Development Fund,Office of Economic Development Total,,,,,,,"1,405,950","1,405,950",2
Economic Development Fund,Planning Total,,,,,"788,249","863,612",,,2
Emergency Shelter Grant,Community Development Total,,,,,,,"217,085","217,085",2
General Debt Service Fund,Treasury Office Total,,,,,"52,693,546","52,700,404","58,832,300","58,832,300",2
General Fund,Accounting & Fin Reporting Total,,,,,"1,655,048","1,884,210","1,863,406","1,863,406",2
General Fund,Agency Appropriations Total,,,,,"2,052,760","2,343,183",,,2
General Fund,Arts Appropriations Total,,,,,,,"2,317,093","2,317,093",2
General Fund,Arts Office_P&R Total,,,,,"391,141","869,123",,,2
General Fund,Budget & Management Services Total,,,,,"1,396,621","1,724,333","1,850,989","1,850,989",2
General Fund,City Attorney Total,,,,,"2,606,625","2,829,794","2,987,074","2,987,074",2
General Fund,City Clerk Total,,,,,"537,338","554,499","534,399","534,399",2
General Fund,City Council Total,,,,,"272,644","276,385","282,485","282,485",2
General Fund,City Manager Total,,,,,"2,242,547","2,841,918","2,299,370","2,299,370",2
General Fund,Community Svcs Total,,,,,"1,793,287","1,882,563","1,874,720","1,874,720",2
General Fund,Construction Mgmt Total,,,,,"1,381,013","1,364,454","1,323,933","1,323,933",2
General Fund,Development Services Total,,,,,"2,824,414","3,362,764","3,379,328","3,379,328",2
General Fund,Emergency Communications Total,,,,,"7,280,440","7,587,378","7,962,567","7,962,567",2
General Fund,Finance Administration Total,,,,,"459,304","581,181","521,804","521,804",2
General Fund,Finance Internal Audit Office Total,,,,,"301,961","329,524",,,2
